Wavelength_nm,n_eff,k_eff
600.0,4.497358,1.987555
605.1,4.513524,1.964335
610.1,4.529652,1.941124
615.2,4.545744,1.917922
620.2,4.561800,1.894729
625.3,4.577818,1.871544
630.3,4.593800,1.848367
635.4,4.609746,1.825198
640.4,4.625654,1.802035
645.5,4.641527,1.778878
650.5,4.657012,1.755621
655.6,4.669269,1.731401
660.6,4.681426,1.707183
665.7,4.693484,1.682965
670.7,4.705441,1.658746
675.8,4.717299,1.634527
680.8,4.729056,1.610306
685.9,4.740714,1.586082
690.9,4.752271,1.561855
696.0,4.763729,1.537624
701.0,4.773620,1.514371
706.1,4.777606,1.495055
711.1,4.781594,1.475752
716.2,4.785584,1.456460
721.2,4.789574,1.437181
726.3,4.793566,1.417914
731.3,4.797558,1.398659
736.4,4.801551,1.379417
741.4,4.805545,1.360187
746.5,4.809540,1.340969
751.5,4.812790,1.320989
756.6,4.814300,1.299226
761.6,4.815808,1.277494
766.7,4.817314,1.255792
771.7,4.818818,1.234121
776.8,4.820320,1.212480
781.8,4.821819,1.190870
786.9,4.823314,1.169291
791.9,4.824807,1.147742
797.0,4.826295,1.126224
802.0,4.825919,1.107012
807.1,4.822749,1.091249
812.1,4.819580,1.075524
817.2,4.816412,1.059835
822.2,4.813245,1.044185
827.3,4.810078,1.028571
832.3,4.806911,1.012996
837.4,4.803744,0.997457
842.4,4.800577,0.981957
847.5,4.797409,0.966494
852.5,4.795008,0.951455
857.6,4.793356,0.936837
862.6,4.791682,0.922250
867.7,4.789984,0.907695
872.7,4.788262,0.893170
877.8,4.786518,0.878676
882.8,4.784749,0.864214
887.9,4.782957,0.849782
892.9,4.781140,0.835382
898.0,4.779299,0.821012
903.0,4.776814,0.808284
908.1,4.773912,0.796641
913.1,4.771011,0.785003
918.2,4.768112,0.773369
923.2,4.765215,0.761739
928.3,4.762318,0.750114
933.3,4.759423,0.738494
938.4,4.756530,0.726878
943.4,4.753638,0.715267
948.5,4.750747,0.703660
953.5,4.746333,0.691743
958.6,4.741258,0.679698
963.6,4.736173,0.667663
968.7,4.731078,0.655638
973.7,4.725973,0.643622
978.8,4.720858,0.631615
983.8,4.715733,0.619618
988.9,4.710597,0.607630
993.9,4.705451,0.595651
999.0,4.700295,0.583682
1004.0,4.696754,0.576194
1009.1,4.693625,0.569829
1014.1,4.690503,0.563468
1019.2,4.687388,0.557110
1024.2,4.684280,0.550757
1029.3,4.681179,0.544408
1034.3,4.678085,0.538063
1039.4,4.674998,0.531722
1044.4,4.671918,0.525385
1049.5,4.668845,0.519052
1054.5,4.666592,0.517383
1059.6,4.664427,0.516231
1064.6,4.662259,0.515078
1069.7,4.660087,0.513922
1074.7,4.657912,0.512765
1079.8,4.655734,0.511606
1084.8,4.653553,0.510445
1089.9,4.651368,0.509283
1094.9,4.649180,0.508119
1100.0,4.646989,0.506953
